[32m[I 2023-04-26 02:21:20,533][39m Trial 25 finished with value: 0.6262626262626262 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 16, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 20 with value: 0.6736842105263158.
[32m[I 2023-04-26 02:21:20,541][39m Trial 26 finished with value: 0.5263157894736843 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 20 with value: 0.6736842105263158.
[32m[I 2023-04-26 02:21:20,548][39m Trial 27 finished with value: 0.5882352941176471 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 20 with value: 0.6736842105263158.
[32m[I 2023-04-26 02:21:20,554][39m Trial 28 finished with value: 0.6122448979591836 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 20 with value: 0.6736842105263158.
[32m[I 2023-04-26 02:21:20,561][39m Trial 29 finished with value: 0.5454545454545454 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 20 with value: 0.6736842105263158.
[32m[I 2023-04-26 02:21:20,572][39m Trial 30 finished with value: 0.6041666666666666 and parameters: {'algorithm': 'auto', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 20 with value: 0.6736842105263158.
[32m[I 2023-04-26 02:21:20,581][39m Trial 31 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:20,589][39m Trial 32 finished with value: 0.6464646464646465 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:20,598][39m Trial 33 finished with value: 0.64 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 15, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:20,606][39m Trial 34 finished with value: 0.6363636363636364 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:20,612][39m Trial 35 finished with value: 0.6391752577319588 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:20,622][39m Trial 36 finished with value: 0.5555555555555556 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 9, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
