
[32m[I 2023-04-20 22:25:13,669][39m Trial 19 finished with value: 0.8623853211009175 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08454572791870782, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.1953724874582644}. Best is trial 17 with value: 0.8672566371681416.
[32m[I 2023-04-20 22:25:14,787][39m Trial 20 finished with value: 0.8521739130434783 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.060109325211560094, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.566901166847241}. Best is trial 17 with value: 0.8672566371681416.
[32m[I 2023-04-20 22:25:15,819][39m Trial 21 finished with value: 0.8421052631578947 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08368906293517607, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.11069771853809253}. Best is trial 17 with value: 0.8672566371681416.
[32m[I 2023-04-20 22:25:16,908][39m Trial 22 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07847394195058903, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.22939898354310306}. Best is trial 17 with value: 0.8672566371681416.
[32m[I 2023-04-20 22:25:18,478][39m Trial 23 finished with value: 0.8727272727272727 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0915618523337655, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4048966537580828}. Best is trial 23 with value: 0.8727272727272727.
[32m[I 2023-04-20 22:25:19,686][39m Trial 24 finished with value: 0.8727272727272727 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0936483878973405, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4612353463179792}. Best is trial 23 with value: 0.8727272727272727.
[32m[I 2023-04-20 22:25:20,631][39m Trial 25 finished with value: 0.8347826086956522 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09149271572317741, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4325115511247632}. Best is trial 23 with value: 0.8727272727272727.
[32m[I 2023-04-20 22:25:22,156][39m Trial 26 finished with value: 0.8672566371681416 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09416247507332312, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4662955746801216}. Best is trial 23 with value: 0.8727272727272727.
[32m[I 2023-04-20 22:25:23,672][39m Trial 27 finished with value: 0.875 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09278528709995484, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4476935871610608}. Best is trial 27 with value: 0.875.
[32m[I 2023-04-20 22:25:24,797][39m Trial 28 finished with value: 0.8648648648648648 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0905321138881217, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.3730622207416959}. Best is trial 27 with value: 0.875.
