[32m[I 2023-04-20 22:40:51,012][39m A new study created in memory with name: no-name-b280dc0f-abca-433f-9545-7124f84e8bda
[32m[I 2023-04-20 22:41:39,680][39m Trial 19 finished with value: 0.8 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.05974439779132656, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9702963301047058}. Best is trial 12 with value: 0.8409090909090909.
[32m[I 2023-04-20 22:41:43,222][39m Trial 20 finished with value: 0.8539325842696629 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.07749642166639319, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.2017626192135475}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:41:47,268][39m Trial 21 finished with value: 0.8409090909090909 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.07785888644205559, 'depth': 6, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.17029238661067}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:41:50,700][39m Trial 22 finished with value: 0.8275862068965518 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.07661744279807435, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.715177441143821}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:41:54,217][39m Trial 23 finished with value: 0.8409090909090909 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09159003440957196, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.8268905326057214}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:41:57,574][39m Trial 24 finished with value: 0.8409090909090909 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.08979308386356959, 'depth': 3, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.7025416480452926}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:00,964][39m Trial 25 finished with value: 0.8275862068965518 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.04871193332232196, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 1.9315065391004707}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:04,558][39m Trial 26 finished with value: 0.8275862068965518 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0921200922860601, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 2.7546301185901894}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:08,005][39m Trial 27 finished with value: 0.8409090909090909 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09049204917531954, 'depth': 3, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.004548687615316}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:11,380][39m Trial 28 finished with value: 0.8 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.08885807252039987, 'depth': 1, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6147392921520338}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:12,087][39m Trial 29 finished with value: 0.8181818181818182 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07638281283644945, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:15,511][39m Trial 30 finished with value: 0.8409090909090909 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.05399106012461225, 'depth': 5, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.944336858073667}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:18,900][39m Trial 31 finished with value: 0.8181818181818182 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.05068642804763458, 'depth': 3, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.5739462762334453}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:22,453][39m Trial 32 finished with value: 0.8539325842696629 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09414690863979934, 'depth': 3, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.18300278380429}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:25,766][39m Trial 33 finished with value: 0.8089887640449439 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.03739803445268268, 'depth': 2, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.753273188189302}. Best is trial 20 with value: 0.8539325842696629.
[32m[I 2023-04-20 22:42:29,347][39m Trial 34 finished with value: 0.8139534883720929 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09972657986067497, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.489955663354809}. Best is trial 20 with value: 0.8539325842696629.
