[32m[I 2023-04-26 02:19:30,673][39m Trial 21 finished with value: 0.8 and parameters: {'criterion': 'entropy', 'n_estimators': 173, 'max_features': 0.809720268350534, 'max_depth': 74, 'min_samples_split': 4, 'min_samples_leaf': 2}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:30,843][39m Trial 22 finished with value: 0.7848101265822786 and parameters: {'criterion': 'entropy', 'n_estimators': 137, 'max_features': 0.730198533637987, 'max_depth': 60, 'min_samples_split': 3, 'min_samples_leaf': 2}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:31,023][39m Trial 23 finished with value: 0.8372093023255814 and parameters: {'criterion': 'entropy', 'n_estimators': 168, 'max_features': 0.6053296742383283, 'max_depth': 80, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:31,099][39m Trial 24 finished with value: 0.7466666666666667 and parameters: {'criterion': 'entropy', 'n_estimators': 55, 'max_features': 0.789100165808283, 'max_depth': 91, 'min_samples_split': 4, 'min_samples_leaf': 2}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:31,261][39m Trial 25 finished with value: 0.7948717948717948 and parameters: {'criterion': 'entropy', 'n_estimators': 113, 'max_features': 0.8939157352702554, 'max_depth': 38, 'min_samples_split': 3, 'min_samples_leaf': 1}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:31,387][39m Trial 26 finished with value: 0.8275862068965518 and parameters: {'criterion': 'gini', 'n_estimators': 133, 'max_features': 0.6091337799752145, 'max_depth': 69, 'min_samples_split': 2, 'min_samples_leaf': 5}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:31,634][39m Trial 27 finished with value: 0.8148148148148149 and parameters: {'criterion': 'entropy', 'n_estimators': 183, 'max_features': 0.8982818856906015, 'max_depth': 79, 'min_samples_split': 4, 'min_samples_leaf': 2}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:31,803][39m Trial 28 finished with value: 0.7356321839080461 and parameters: {'criterion': 'entropy', 'n_estimators': 158, 'max_features': 0.761883301330948, 'max_depth': 58, 'min_samples_split': 6, 'min_samples_leaf': 11}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:31,980][39m Trial 29 finished with value: 0.8139534883720929 and parameters: {'criterion': 'entropy', 'n_estimators': 195, 'max_features': 0.43682837790764806, 'max_depth': 93, 'min_samples_split': 7, 'min_samples_leaf': 7}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:32,075][39m Trial 30 finished with value: 0.7578947368421053 and parameters: {'criterion': 'entropy', 'n_estimators': 83, 'max_features': 0.9194331779083776, 'max_depth': 4, 'min_samples_split': 6, 'min_samples_leaf': 4}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:32,265][39m Trial 31 finished with value: 0.8235294117647058 and parameters: {'criterion': 'entropy', 'n_estimators': 167, 'max_features': 0.6137585834523105, 'max_depth': 79, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:32,466][39m Trial 32 finished with value: 0.8292682926829268 and parameters: {'criterion': 'entropy', 'n_estimators': 180, 'max_features': 0.588569341913545, 'max_depth': 86, 'min_samples_split': 2, 'min_samples_leaf': 3}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:32,527][39m Trial 33 finished with value: 0.8148148148148149 and parameters: {'criterion': 'entropy', 'n_estimators': 60, 'max_features': 0.3010997333670322, 'max_depth': 95, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:32,629][39m Trial 34 finished with value: 0.7692307692307694 and parameters: {'criterion': 'entropy', 'n_estimators': 68, 'max_features': 0.9431437096332287, 'max_depth': 68, 'min_samples_split': 4, 'min_samples_leaf': 2}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:32,751][39m Trial 35 finished with value: 0.8051948051948052 and parameters: {'criterion': 'entropy', 'n_estimators': 84, 'max_features': 0.8398390498591513, 'max_depth': 87, 'min_samples_split': 2, 'min_samples_leaf': 1}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:32,886][39m Trial 36 finished with value: 0.8292682926829268 and parameters: {'criterion': 'gini', 'n_estimators': 160, 'max_features': 0.36139244653584035, 'max_depth': 77, 'min_samples_split': 3, 'min_samples_leaf': 4}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:33,103][39m Trial 37 finished with value: 0.8275862068965518 and parameters: {'criterion': 'entropy', 'n_estimators': 193, 'max_features': 0.7020370767311904, 'max_depth': 53, 'min_samples_split': 3, 'min_samples_leaf': 5}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:33,260][39m Trial 38 finished with value: 0.8275862068965518 and parameters: {'criterion': 'gini', 'n_estimators': 175, 'max_features': 0.5487494066069248, 'max_depth': 69, 'min_samples_split': 2, 'min_samples_leaf': 6}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:33,404][39m Trial 39 finished with value: 0.8372093023255814 and parameters: {'criterion': 'entropy', 'n_estimators': 116, 'max_features': 0.7658689515262755, 'max_depth': 63, 'min_samples_split': 3, 'min_samples_leaf': 4}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:33,541][39m Trial 40 finished with value: 0.7640449438202247 and parameters: {'criterion': 'gini', 'n_estimators': 144, 'max_features': 0.6500392326074014, 'max_depth': 83, 'min_samples_split': 9, 'min_samples_leaf': 8}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:33,613][39m Trial 41 finished with value: 0.7857142857142858 and parameters: {'criterion': 'entropy', 'n_estimators': 50, 'max_features': 0.8649961045629833, 'max_depth': 63, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 19 with value: 0.8571428571428572.
[32m[I 2023-04-26 02:19:33,751][39m Trial 42 finished with value: 0.7848101265822786 and parameters: {'criterion': 'entropy', 'n_estimators': 105, 'max_features': 0.8040622952804489, 'max_depth': 95, 'min_samples_split': 2, 'min_samples_leaf': 2}. Best is trial 19 with value: 0.8571428571428572.
