[32m[I 2023-04-26 12:33:42,824][39m Trial 25 finished with value: 0.709090909090909 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,839][39m Trial 26 finished with value: 0.6728971962616822 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,850][39m Trial 27 finished with value: 0.7207207207207208 and parameters: {'algorithm': 'auto', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,857][39m Trial 28 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'auto', 'n_neighbors': 18, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,865][39m Trial 29 finished with value: 0.7207207207207208 and parameters: {'algorithm': 'auto', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,887][39m Trial 30 finished with value: 0.7207207207207208 and parameters: {'algorithm': 'brute', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,913][39m Trial 31 finished with value: 0.6902654867256638 and parameters: {'algorithm': 'brute', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,925][39m Trial 32 finished with value: 0.7207207207207208 and parameters: {'algorithm': 'auto', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,937][39m Trial 33 finished with value: 0.709090909090909 and parameters: {'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,959][39m Trial 34 finished with value: 0.6725663716814159 and parameters: {'algorithm': 'brute', 'n_neighbors': 13, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,966][39m Trial 35 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'auto', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:42,988][39m Trial 36 finished with value: 0.5825242718446603 and parameters: {'algorithm': 'brute', 'n_neighbors': 16, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
