[32m[I 2023-04-26 00:16:14,633][39m Trial 21 finished with value: 0.8440366972477066 and parameters: {'criterion': 'entropy', 'n_estimators': 136, 'max_features': 0.9830824222336058, 'max_depth': 62, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 11 with value: 0.8648648648648648.
[32m[I 2023-04-26 00:16:14,763][39m Trial 22 finished with value: 0.8571428571428572 and parameters: {'criterion': 'entropy', 'n_estimators': 163, 'max_features': 0.35501231542669404, 'max_depth': 49, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 11 with value: 0.8648648648648648.
[32m[I 2023-04-26 00:16:14,928][39m Trial 23 finished with value: 0.8521739130434783 and parameters: {'criterion': 'entropy', 'n_estimators': 185, 'max_features': 0.5568277950275919, 'max_depth': 76, 'min_samples_split': 3, 'min_samples_leaf': 2}. Best is trial 11 with value: 0.8648648648648648.
[32m[I 2023-04-26 00:16:15,055][39m Trial 24 finished with value: 0.8468468468468469 and parameters: {'criterion': 'entropy', 'n_estimators': 141, 'max_features': 0.7172388220448106, 'max_depth': 55, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 11 with value: 0.8648648648648648.
[32m[I 2023-04-26 00:16:15,180][39m Trial 25 finished with value: 0.8793103448275863 and parameters: {'criterion': 'entropy', 'n_estimators': 157, 'max_features': 0.2876071584398489, 'max_depth': 89, 'min_samples_split': 2, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:15,288][39m Trial 26 finished with value: 0.8103448275862069 and parameters: {'criterion': 'entropy', 'n_estimators': 115, 'max_features': 0.13756728524269884, 'max_depth': 88, 'min_samples_split': 4, 'min_samples_leaf': 1}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:15,416][39m Trial 27 finished with value: 0.8672566371681416 and parameters: {'criterion': 'entropy', 'n_estimators': 157, 'max_features': 0.30649431763807267, 'max_depth': 72, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:15,501][39m Trial 28 finished with value: 0.8392857142857144 and parameters: {'criterion': 'entropy', 'n_estimators': 101, 'max_features': 0.2837607011758324, 'max_depth': 56, 'min_samples_split': 6, 'min_samples_leaf': 6}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:15,625][39m Trial 29 finished with value: 0.8429752066115702 and parameters: {'criterion': 'entropy', 'n_estimators': 155, 'max_features': 0.16058245394580742, 'max_depth': 80, 'min_samples_split': 3, 'min_samples_leaf': 2}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:15,745][39m Trial 30 finished with value: 0.8672566371681416 and parameters: {'criterion': 'entropy', 'n_estimators': 145, 'max_features': 0.3687041372171126, 'max_depth': 70, 'min_samples_split': 2, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:15,865][39m Trial 31 finished with value: 0.8672566371681416 and parameters: {'criterion': 'entropy', 'n_estimators': 145, 'max_features': 0.40397169560361273, 'max_depth': 69, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:15,988][39m Trial 32 finished with value: 0.8571428571428572 and parameters: {'criterion': 'entropy', 'n_estimators': 146, 'max_features': 0.39990830741342936, 'max_depth': 65, 'min_samples_split': 4, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:16,114][39m Trial 33 finished with value: 0.8403361344537814 and parameters: {'criterion': 'entropy', 'n_estimators': 155, 'max_features': 0.28757660701019566, 'max_depth': 90, 'min_samples_split': 3, 'min_samples_leaf': 2}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:16,227][39m Trial 34 finished with value: 0.8468468468468469 and parameters: {'criterion': 'gini', 'n_estimators': 145, 'max_features': 0.28156512758143043, 'max_depth': 77, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:16,359][39m Trial 35 finished with value: 0.8275862068965517 and parameters: {'criterion': 'entropy', 'n_estimators': 173, 'max_features': 0.4063764844190406, 'max_depth': 69, 'min_samples_split': 3, 'min_samples_leaf': 11}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:16,478][39m Trial 36 finished with value: 0.8596491228070176 and parameters: {'criterion': 'gini', 'n_estimators': 160, 'max_features': 0.18276274269042156, 'max_depth': 83, 'min_samples_split': 5, 'min_samples_leaf': 7}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:16,609][39m Trial 37 finished with value: 0.8070175438596492 and parameters: {'criterion': 'entropy', 'n_estimators': 150, 'max_features': 0.5216547722919833, 'max_depth': 92, 'min_samples_split': 4, 'min_samples_leaf': 1}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:16,715][39m Trial 38 finished with value: 0.8500000000000001 and parameters: {'criterion': 'gini', 'n_estimators': 133, 'max_features': 0.23753438885530348, 'max_depth': 74, 'min_samples_split': 3, 'min_samples_leaf': 2}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:16,834][39m Trial 39 finished with value: 0.8347826086956522 and parameters: {'criterion': 'entropy', 'n_estimators': 141, 'max_features': 0.5810400632068702, 'max_depth': 85, 'min_samples_split': 2, 'min_samples_leaf': 6}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:16,901][39m Trial 40 finished with value: 0.847457627118644 and parameters: {'criterion': 'gini', 'n_estimators': 81, 'max_features': 0.06978991616506769, 'max_depth': 44, 'min_samples_split': 9, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:17,046][39m Trial 41 finished with value: 0.8571428571428572 and parameters: {'criterion': 'entropy', 'n_estimators': 174, 'max_features': 0.46683583436202053, 'max_depth': 101, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:17,166][39m Trial 42 finished with value: 0.8672566371681416 and parameters: {'criterion': 'entropy', 'n_estimators': 128, 'max_features': 0.8453885521771196, 'max_depth': 56, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:17,274][39m Trial 43 finished with value: 0.8596491228070176 and parameters: {'criterion': 'entropy', 'n_estimators': 113, 'max_features': 0.8089793386280832, 'max_depth': 51, 'min_samples_split': 3, 'min_samples_leaf': 2}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:17,412][39m Trial 44 finished with value: 0.8545454545454546 and parameters: {'criterion': 'entropy', 'n_estimators': 159, 'max_features': 0.6168122296481924, 'max_depth': 66, 'min_samples_split': 11, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:17,528][39m Trial 45 finished with value: 0.875 and parameters: {'criterion': 'entropy', 'n_estimators': 129, 'max_features': 0.6986407332835454, 'max_depth': 59, 'min_samples_split': 3, 'min_samples_leaf': 4}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:17,647][39m Trial 46 finished with value: 0.8545454545454546 and parameters: {'criterion': 'entropy', 'n_estimators': 126, 'max_features': 0.8774681359141135, 'max_depth': 39, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:17,764][39m Trial 47 finished with value: 0.8672566371681416 and parameters: {'criterion': 'entropy', 'n_estimators': 127, 'max_features': 0.7319096898496271, 'max_depth': 59, 'min_samples_split': 4, 'min_samples_leaf': 4}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:17,845][39m Trial 48 finished with value: 0.8421052631578947 and parameters: {'criterion': 'gini', 'n_estimators': 92, 'max_features': 0.7263725504541807, 'max_depth': 59, 'min_samples_split': 4, 'min_samples_leaf': 5}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:17,952][39m Trial 49 finished with value: 0.8245614035087718 and parameters: {'criterion': 'entropy', 'n_estimators': 115, 'max_features': 0.7761303540621776, 'max_depth': 29, 'min_samples_split': 5, 'min_samples_leaf': 5}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:18,020][39m Trial 50 finished with value: 0.8571428571428572 and parameters: {'criterion': 'entropy', 'n_estimators': 65, 'max_features': 0.8659606721285821, 'max_depth': 53, 'min_samples_split': 2, 'min_samples_leaf': 2}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:18,135][39m Trial 51 finished with value: 0.8545454545454546 and parameters: {'criterion': 'entropy', 'n_estimators': 127, 'max_features': 0.691029985787109, 'max_depth': 46, 'min_samples_split': 3, 'min_samples_leaf': 4}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:18,260][39m Trial 52 finished with value: 0.8440366972477066 and parameters: {'criterion': 'entropy', 'n_estimators': 139, 'max_features': 0.7719547469861747, 'max_depth': 60, 'min_samples_split': 2, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:18,363][39m Trial 53 finished with value: 0.8392857142857144 and parameters: {'criterion': 'entropy', 'n_estimators': 107, 'max_features': 0.8228391572559979, 'max_depth': 64, 'min_samples_split': 4, 'min_samples_leaf': 4}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:18,484][39m Trial 54 finished with value: 0.8771929824561403 and parameters: {'criterion': 'entropy', 'n_estimators': 149, 'max_features': 0.3048849393104289, 'max_depth': 73, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:18,604][39m Trial 55 finished with value: 0.8205128205128206 and parameters: {'criterion': 'entropy', 'n_estimators': 129, 'max_features': 0.9178157221009714, 'max_depth': 59, 'min_samples_split': 7, 'min_samples_leaf': 5}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:18,725][39m Trial 56 finished with value: 0.8672566371681416 and parameters: {'criterion': 'entropy', 'n_estimators': 150, 'max_features': 0.3212887777050477, 'max_depth': 81, 'min_samples_split': 6, 'min_samples_leaf': 4}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:18,870][39m Trial 57 finished with value: 0.8596491228070176 and parameters: {'criterion': 'entropy', 'n_estimators': 166, 'max_features': 0.43142742651159666, 'max_depth': 72, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:18,999][39m Trial 58 finished with value: 0.8347826086956522 and parameters: {'criterion': 'entropy', 'n_estimators': 150, 'max_features': 0.6644304451847347, 'max_depth': 95, 'min_samples_split': 6, 'min_samples_leaf': 7}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:19,115][39m Trial 59 finished with value: 0.8347826086956522 and parameters: {'criterion': 'entropy', 'n_estimators': 143, 'max_features': 0.3882602207935802, 'max_depth': 78, 'min_samples_split': 9, 'min_samples_leaf': 9}. Best is trial 25 with value: 0.8793103448275863.
[32m[I 2023-04-26 00:16:19,226][39m Trial 60 finished with value: 0.8571428571428572 and parameters: {'criterion': 'entropy', 'n_estimators': 137, 'max_features': 0.3223798158600995, 'max_depth': 82, 'min_samples_split': 8, 'min_samples_leaf': 5}. Best is trial 25 with value: 0.8793103448275863.
