[32m[I 2023-04-26 14:57:24,828][39m Trial 21 finished with value: 0.8314606741573034 and parameters: {'criterion': 'entropy', 'n_estimators': 69, 'max_features': 0.4863181407018174, 'max_depth': 65, 'min_samples_split': 9, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:24,889][39m Trial 22 finished with value: 0.8333333333333333 and parameters: {'criterion': 'entropy', 'n_estimators': 50, 'max_features': 0.5297638425245302, 'max_depth': 43, 'min_samples_split': 8, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:24,941][39m Trial 23 finished with value: 0.8505747126436782 and parameters: {'criterion': 'entropy', 'n_estimators': 50, 'max_features': 0.5965729737964097, 'max_depth': 43, 'min_samples_split': 8, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:25,026][39m Trial 24 finished with value: 0.8409090909090909 and parameters: {'criterion': 'entropy', 'n_estimators': 84, 'max_features': 0.7563296961412551, 'max_depth': 55, 'min_samples_split': 6, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:25,121][39m Trial 25 finished with value: 0.8048780487804877 and parameters: {'criterion': 'entropy', 'n_estimators': 100, 'max_features': 0.6233340383209619, 'max_depth': 25, 'min_samples_split': 8, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:25,171][39m Trial 26 finished with value: 0.8048780487804877 and parameters: {'criterion': 'entropy', 'n_estimators': 52, 'max_features': 0.2957188530016629, 'max_depth': 39, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:25,245][39m Trial 27 finished with value: 0.8372093023255814 and parameters: {'criterion': 'entropy', 'n_estimators': 73, 'max_features': 0.7070946291281858, 'max_depth': 55, 'min_samples_split': 8, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:25,311][39m Trial 28 finished with value: 0.8275862068965518 and parameters: {'criterion': 'entropy', 'n_estimators': 61, 'max_features': 0.9481859640324302, 'max_depth': 38, 'min_samples_split': 4, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:25,400][39m Trial 29 finished with value: 0.8292682926829268 and parameters: {'criterion': 'entropy', 'n_estimators': 93, 'max_features': 0.5762324949254379, 'max_depth': 80, 'min_samples_split': 6, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:25,507][39m Trial 30 finished with value: 0.8045977011494252 and parameters: {'criterion': 'entropy', 'n_estimators': 111, 'max_features': 0.8000295167614396, 'max_depth': 48, 'min_samples_split': 10, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:25,587][39m Trial 31 finished with value: 0.8604651162790697 and parameters: {'criterion': 'entropy', 'n_estimators': 80, 'max_features': 0.7497105641926439, 'max_depth': 55, 'min_samples_split': 6, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:25,665][39m Trial 32 finished with value: 0.8372093023255814 and parameters: {'criterion': 'entropy', 'n_estimators': 80, 'max_features': 0.6383708458070882, 'max_depth': 59, 'min_samples_split': 7, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:25,731][39m Trial 33 finished with value: 0.8863636363636364 and parameters: {'criterion': 'entropy', 'n_estimators': 62, 'max_features': 0.754551465629445, 'max_depth': 52, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:25,805][39m Trial 34 finished with value: 0.8235294117647058 and parameters: {'criterion': 'entropy', 'n_estimators': 68, 'max_features': 0.8070616553399872, 'max_depth': 35, 'min_samples_split': 4, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:25,891][39m Trial 35 finished with value: 0.8292682926829268 and parameters: {'criterion': 'entropy', 'n_estimators': 78, 'max_features': 0.8742928131729597, 'max_depth': 65, 'min_samples_split': 5, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:25,985][39m Trial 36 finished with value: 0.8235294117647058 and parameters: {'criterion': 'entropy', 'n_estimators': 94, 'max_features': 0.7483194306584148, 'max_depth': 53, 'min_samples_split': 3, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:26,129][39m Trial 37 finished with value: 0.7764705882352942 and parameters: {'criterion': 'gini', 'n_estimators': 165, 'max_features': 0.9098897559941324, 'max_depth': 44, 'min_samples_split': 6, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:26,193][39m Trial 38 finished with value: 0.8470588235294119 and parameters: {'criterion': 'entropy', 'n_estimators': 62, 'max_features': 0.688090263206323, 'max_depth': 78, 'min_samples_split': 5, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:26,297][39m Trial 39 finished with value: 0.8048780487804877 and parameters: {'criterion': 'gini', 'n_estimators': 113, 'max_features': 0.8391610361434177, 'max_depth': 61, 'min_samples_split': 7, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:26,418][39m Trial 40 finished with value: 0.7954545454545454 and parameters: {'criterion': 'entropy', 'n_estimators': 138, 'max_features': 0.5370274120807975, 'max_depth': 27, 'min_samples_split': 4, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:26,479][39m Trial 41 finished with value: 0.8192771084337348 and parameters: {'criterion': 'entropy', 'n_estimators': 57, 'max_features': 0.6218074033928613, 'max_depth': 51, 'min_samples_split': 6, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:26,534][39m Trial 42 finished with value: 0.7906976744186047 and parameters: {'criterion': 'entropy', 'n_estimators': 50, 'max_features': 0.7643135339980351, 'max_depth': 44, 'min_samples_split': 8, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
[32m[I 2023-04-26 14:57:26,607][39m Trial 43 finished with value: 0.8139534883720929 and parameters: {'criterion': 'entropy', 'n_estimators': 71, 'max_features': 0.719554026527867, 'max_depth': 68, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8965517241379309.
