
[32m[I 2023-04-25 23:56:02,629][39m Trial 19 finished with value: 0.8421052631578947 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09975861278624922, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:04,187][39m Trial 20 finished with value: 0.8256880733944953 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06584864380402722, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6988021648478064}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:05,850][39m Trial 21 finished with value: 0.8421052631578947 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05069406401321422, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.17030004848470265}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:07,465][39m Trial 22 finished with value: 0.8448275862068967 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.04630695045089525, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.27618395661974676}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:08,954][39m Trial 23 finished with value: 0.8521739130434783 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.028488496023721232, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.108501048364738}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:10,561][39m Trial 24 finished with value: 0.8376068376068375 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.04037268428526282, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.30483956384470834}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:12,668][39m Trial 25 finished with value: 0.831858407079646 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05766577905389009, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5208692719095184}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:15,954][39m Trial 26 finished with value: 0.847457627118644 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.023810005681744923, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.3514477775793674}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:17,586][39m Trial 27 finished with value: 0.8392857142857144 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08368232002992188, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5782416425635618}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:56:21,453][39m Trial 28 finished with value: 0.847457627118644 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.04693557948627492, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.996498370216168}. Best is trial 2 with value: 0.8672566371681416.
