[32m[I 2023-04-26 15:03:20,695][39m Trial 25 finished with value: 0.7727272727272727 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 21, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 18 with value: 0.7764705882352942.
[32m[I 2023-04-26 15:03:20,709][39m Trial 26 finished with value: 0.7727272727272727 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 22, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 18 with value: 0.7764705882352942.
[32m[I 2023-04-26 15:03:20,724][39m Trial 27 finished with value: 0.7727272727272727 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 23, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 18 with value: 0.7764705882352942.
[32m[I 2023-04-26 15:03:20,741][39m Trial 28 finished with value: 0.7816091954022988 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 24, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7816091954022988.
[32m[I 2023-04-26 15:03:20,756][39m Trial 29 finished with value: 0.6666666666666667 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 28, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7816091954022988.
[32m[I 2023-04-26 15:03:20,771][39m Trial 30 finished with value: 0.7727272727272727 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 23, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7816091954022988.
[32m[I 2023-04-26 15:03:20,786][39m Trial 31 finished with value: 0.7816091954022988 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 24, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7816091954022988.
[32m[I 2023-04-26 15:03:20,802][39m Trial 32 finished with value: 0.7816091954022988 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 24, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7816091954022988.
[32m[I 2023-04-26 15:03:20,817][39m Trial 33 finished with value: 0.7777777777777778 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 25, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7816091954022988.
[32m[I 2023-04-26 15:03:20,833][39m Trial 34 finished with value: 0.6923076923076923 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7816091954022988.
[32m[I 2023-04-26 15:03:20,849][39m Trial 35 finished with value: 0.7777777777777778 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 25, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7816091954022988.
[32m[I 2023-04-26 15:03:20,863][39m Trial 36 finished with value: 0.6666666666666667 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 28, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7816091954022988.
[32m[I 2023-04-26 15:03:20,878][39m Trial 37 finished with value: 0.7816091954022988 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 24, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7816091954022988.
[32m[I 2023-04-26 15:03:20,893][39m Trial 38 finished with value: 0.7659574468085106 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 15, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7816091954022988.
[32m[I 2023-04-26 15:03:20,908][39m Trial 39 finished with value: 0.7816091954022988 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 24, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 28 with value: 0.7816091954022988.
[32m[I 2023-04-26 15:03:20,923][39m Trial 40 finished with value: 0.6666666666666667 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 29, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 28 with value: 0.7816091954022988.
[32m[I 2023-04-26 15:03:20,938][39m Trial 41 finished with value: 0.7816091954022988 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 24, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 28 with value: 0.7816091954022988.
[32m[I 2023-04-26 15:03:20,953][39m Trial 42 finished with value: 0.7356321839080461 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 27, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 28 with value: 0.7816091954022988.
[32m[I 2023-04-26 15:03:20,968][39m Trial 43 finished with value: 0.7816091954022988 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 24, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 28 with value: 0.7816091954022988.
[32m[I 2023-04-26 15:03:20,984][39m Trial 44 finished with value: 0.7311827956989247 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 28 with value: 0.7816091954022988.
[32m[I 2023-04-26 15:03:21,023][39m Trial 45 finished with value: 0.7764705882352942 and parameters: {'algorithm': 'brute', 'n_neighbors': 20, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 28 with value: 0.7816091954022988.
