[32m[I 2023-04-26 00:20:35,315][39m Trial 26 finished with value: 0.8545454545454546 and parameters: {'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,331][39m Trial 27 finished with value: 0.8421052631578947 and parameters: {'algorithm': 'brute', 'n_neighbors': 9, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,337][39m Trial 28 finished with value: 0.8275862068965517 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,359][39m Trial 29 finished with value: 0.8108108108108107 and parameters: {'algorithm': 'brute', 'n_neighbors': 11, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,365][39m Trial 30 finished with value: 0.8141592920353982 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 1, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,389][39m Trial 31 finished with value: 0.8113207547169813 and parameters: {'algorithm': 'brute', 'n_neighbors': 6, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,416][39m Trial 32 finished with value: 0.8113207547169813 and parameters: {'algorithm': 'brute', 'n_neighbors': 6, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,440][39m Trial 33 finished with value: 0.7999999999999999 and parameters: {'algorithm': 'brute', 'n_neighbors': 4, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,447][39m Trial 34 finished with value: 0.8440366972477066 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,464][39m Trial 35 finished with value: 0.8214285714285715 and parameters: {'algorithm': 'brute', 'n_neighbors': 14, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,471][39m Trial 36 finished with value: 0.8468468468468469 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,479][39m Trial 37 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,486][39m Trial 38 finished with value: 0.75 and parameters: {'algorithm': 'auto', 'n_neighbors': 24, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,494][39m Trial 39 finished with value: 0.8288288288288289 and parameters: {'algorithm': 'auto', 'n_neighbors': 17, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,502][39m Trial 40 finished with value: 0.7931034482758621 and parameters: {'algorithm': 'auto', 'n_neighbors': 15, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,508][39m Trial 41 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,514][39m Trial 42 finished with value: 0.8173913043478261 and parameters: {'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,522][39m Trial 43 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'auto', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,529][39m Trial 44 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,536][39m Trial 45 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,542][39m Trial 46 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,549][39m Trial 47 finished with value: 0.8275862068965517 and parameters: {'algorithm': 'auto', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,555][39m Trial 48 finished with value: 0.8392857142857144 and parameters: {'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,560][39m Trial 49 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,567][39m Trial 50 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,575][39m Trial 51 finished with value: 0.831858407079646 and parameters: {'algorithm': 'auto', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,581][39m Trial 52 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'auto', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,588][39m Trial 53 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,596][39m Trial 54 finished with value: 0.8288288288288289 and parameters: {'algorithm': 'auto', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,603][39m Trial 55 finished with value: 0.8392857142857144 and parameters: {'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,610][39m Trial 56 finished with value: 0.8148148148148148 and parameters: {'algorithm': 'auto', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,617][39m Trial 57 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,625][39m Trial 58 finished with value: 0.831858407079646 and parameters: {'algorithm': 'auto', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,632][39m Trial 59 finished with value: 0.831858407079646 and parameters: {'algorithm': 'auto', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,641][39m Trial 60 finished with value: 0.831858407079646 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,657][39m Trial 61 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,670][39m Trial 62 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,678][39m Trial 63 finished with value: 0.8173913043478261 and parameters: {'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,685][39m Trial 64 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,695][39m Trial 65 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,702][39m Trial 66 finished with value: 0.831858407079646 and parameters: {'algorithm': 'auto', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,711][39m Trial 67 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'auto', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,717][39m Trial 68 finished with value: 0.8288288288288289 and parameters: {'algorithm': 'auto', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
