[32m[I 2023-04-26 13:00:37,022][39m Trial 26 finished with value: 0.8495575221238938 and parameters: {'algorithm': 'brute', 'n_neighbors': 27, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 6 with value: 0.8771929824561403.
[32m[I 2023-04-26 13:00:37,047][39m Trial 27 finished with value: 0.8596491228070176 and parameters: {'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 6 with value: 0.8771929824561403.
[32m[I 2023-04-26 13:00:37,059][39m Trial 28 finished with value: 0.8392857142857144 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 6 with value: 0.8771929824561403.
[32m[I 2023-04-26 13:00:37,075][39m Trial 29 finished with value: 0.8256880733944953 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 16, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 6 with value: 0.8771929824561403.
[32m[I 2023-04-26 13:00:37,100][39m Trial 30 finished with value: 0.8495575221238938 and parameters: {'algorithm': 'brute', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 6 with value: 0.8771929824561403.
[32m[I 2023-04-26 13:00:37,124][39m Trial 31 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'brute', 'n_neighbors': 30, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 6 with value: 0.8771929824561403.
[32m[I 2023-04-26 13:00:37,148][39m Trial 32 finished with value: 0.8495575221238938 and parameters: {'algorithm': 'brute', 'n_neighbors': 28, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 6 with value: 0.8771929824561403.
[32m[I 2023-04-26 13:00:37,173][39m Trial 33 finished with value: 0.8495575221238938 and parameters: {'algorithm': 'brute', 'n_neighbors': 26, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 6 with value: 0.8771929824561403.
[32m[I 2023-04-26 13:00:37,190][39m Trial 34 finished with value: 0.7966101694915254 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 23, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 6 with value: 0.8771929824561403.
[32m[I 2023-04-26 13:00:37,213][39m Trial 35 finished with value: 0.8495575221238938 and parameters: {'algorithm': 'brute', 'n_neighbors': 28, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 6 with value: 0.8771929824561403.
[32m[I 2023-04-26 13:00:37,226][39m Trial 36 finished with value: 0.8771929824561403 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 6 with value: 0.8771929824561403.
[32m[I 2023-04-26 13:00:37,242][39m Trial 37 finished with value: 0.8288288288288289 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 12, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 6 with value: 0.8771929824561403.
[32m[I 2023-04-26 13:00:37,254][39m Trial 38 finished with value: 0.8596491228070176 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 6 with value: 0.8771929824561403.
[32m[I 2023-04-26 13:00:37,267][39m Trial 39 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 15, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 6 with value: 0.8771929824561403.
[32m[I 2023-04-26 13:00:37,283][39m Trial 40 finished with value: 0.7924528301886793 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 2, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 6 with value: 0.8771929824561403.
[32m[I 2023-04-26 13:00:37,295][39m Trial 41 finished with value: 0.8771929824561403 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 6 with value: 0.8771929824561403.
