[32m[I 2023-04-26 12:57:50,308][39m Trial 25 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,314][39m Trial 26 finished with value: 0.6902654867256638 and parameters: {'algorithm': 'auto', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,347][39m Trial 27 finished with value: 0.709090909090909 and parameters: {'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 11 with value: 0.7142857142857143.
[32m[I 2023-04-26 12:57:50,358][39m Trial 28 finished with value: 0.7155963302752292 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,370][39m Trial 29 finished with value: 0.7155963302752292 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,382][39m Trial 30 finished with value: 0.7155963302752292 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,394][39m Trial 31 finished with value: 0.7155963302752292 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,407][39m Trial 32 finished with value: 0.7155963302752292 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,418][39m Trial 33 finished with value: 0.6902654867256638 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 18, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,429][39m Trial 34 finished with value: 0.7155963302752292 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,441][39m Trial 35 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 20, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,450][39m Trial 36 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 15, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,458][39m Trial 37 finished with value: 0.588235294117647 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 17, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,465][39m Trial 38 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 21, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,474][39m Trial 39 finished with value: 0.6486486486486486 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 15, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,482][39m Trial 40 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 20, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,490][39m Trial 41 finished with value: 0.7155963302752292 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,498][39m Trial 42 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,505][39m Trial 43 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 17, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,514][39m Trial 44 finished with value: 0.5858585858585859 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 16, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,541][39m Trial 45 finished with value: 0.7155963302752292 and parameters: {'algorithm': 'brute', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,571][39m Trial 46 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'brute', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,586][39m Trial 47 finished with value: 0.6168224299065421 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 18, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,617][39m Trial 48 finished with value: 0.6909090909090909 and parameters: {'algorithm': 'brute', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,646][39m Trial 49 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'brute', 'n_neighbors': 23, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
[32m[I 2023-04-26 12:57:50,659][39m Trial 50 finished with value: 0.6964285714285714 and parameters: {'algorithm': 'auto', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 28 with value: 0.7155963302752292.
