[32m[I 2023-04-26 00:21:29,445][39m Trial 26 finished with value: 0.8214285714285715 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 23, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 12 with value: 0.8695652173913043.
[32m[I 2023-04-26 00:21:29,454][39m Trial 27 finished with value: 0.8392857142857144 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 16, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 12 with value: 0.8695652173913043.
[32m[I 2023-04-26 00:21:29,478][39m Trial 28 finished with value: 0.8695652173913043 and parameters: {'algorithm': 'auto', 'n_neighbors': 27, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 12 with value: 0.8695652173913043.
[32m[I 2023-04-26 00:21:29,495][39m Trial 29 finished with value: 0.8073394495412843 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 24, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 12 with value: 0.8695652173913043.
[32m[I 2023-04-26 00:21:29,523][39m Trial 30 finished with value: 0.8672566371681416 and parameters: {'algorithm': 'auto', 'n_neighbors': 20, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 12 with value: 0.8695652173913043.
[32m[I 2023-04-26 00:21:29,552][39m Trial 31 finished with value: 0.8392857142857144 and parameters: {'algorithm': 'brute', 'n_neighbors': 28, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 12 with value: 0.8695652173913043.
[32m[I 2023-04-26 00:21:29,565][39m Trial 32 finished with value: 0.8695652173913043 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 22, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 12 with value: 0.8695652173913043.
[32m[I 2023-04-26 00:21:29,594][39m Trial 33 finished with value: 0.8392857142857144 and parameters: {'algorithm': 'auto', 'n_neighbors': 28, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 12 with value: 0.8695652173913043.
[32m[I 2023-04-26 00:21:29,612][39m Trial 34 finished with value: 0.8148148148148148 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 22, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 12 with value: 0.8695652173913043.
[32m[I 2023-04-26 00:21:29,626][39m Trial 35 finished with value: 0.8392857142857144 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 17, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 12 with value: 0.8695652173913043.
[32m[I 2023-04-26 00:21:29,640][39m Trial 36 finished with value: 0.8695652173913043 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 26, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 12 with value: 0.8695652173913043.
[32m[I 2023-04-26 00:21:29,659][39m Trial 37 finished with value: 0.8073394495412843 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 30, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 12 with value: 0.8695652173913043.
[32m[I 2023-04-26 00:21:29,674][39m Trial 38 finished with value: 0.8695652173913043 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 24, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 12 with value: 0.8695652173913043.
[32m[I 2023-04-26 00:21:29,688][39m Trial 39 finished with value: 0.8672566371681416 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 21, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 12 with value: 0.8695652173913043.
[32m[I 2023-04-26 00:21:29,701][39m Trial 40 finished with value: 0.8141592920353982 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 13, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8695652173913043.
[32m[I 2023-04-26 00:21:29,710][39m Trial 41 finished with value: 0.8695652173913043 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 27, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 12 with value: 0.8695652173913043.
[32m[I 2023-04-26 00:21:29,717][39m Trial 42 finished with value: 0.8695652173913043 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 23, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 12 with value: 0.8695652173913043.
