[32m[I 2023-04-26 00:21:11,022][39m Trial 26 finished with value: 0.6306306306306305 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 27, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 2 with value: 0.709090909090909.
[32m[I 2023-04-26 00:21:11,035][39m Trial 27 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 30, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 2 with value: 0.709090909090909.
[32m[I 2023-04-26 00:21:11,065][39m Trial 28 finished with value: 0.709090909090909 and parameters: {'algorithm': 'brute', 'n_neighbors': 25, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 2 with value: 0.709090909090909.
[32m[I 2023-04-26 00:21:11,089][39m Trial 29 finished with value: 0.6306306306306305 and parameters: {'algorithm': 'brute', 'n_neighbors': 26, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 2 with value: 0.709090909090909.
[32m[I 2023-04-26 00:21:11,097][39m Trial 30 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 23, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 2 with value: 0.709090909090909.
[32m[I 2023-04-26 00:21:11,105][39m Trial 31 finished with value: 0.709090909090909 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 25, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 2 with value: 0.709090909090909.
[32m[I 2023-04-26 00:21:11,112][39m Trial 32 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 21, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 2 with value: 0.709090909090909.
[32m[I 2023-04-26 00:21:11,132][39m Trial 33 finished with value: 0.709090909090909 and parameters: {'algorithm': 'brute', 'n_neighbors': 22, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 2 with value: 0.709090909090909.
[32m[I 2023-04-26 00:21:11,144][39m Trial 34 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 2 with value: 0.709090909090909.
[32m[I 2023-04-26 00:21:11,174][39m Trial 35 finished with value: 0.709090909090909 and parameters: {'algorithm': 'brute', 'n_neighbors': 22, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 2 with value: 0.709090909090909.
[32m[I 2023-04-26 00:21:11,191][39m Trial 36 finished with value: 0.6306306306306305 and parameters: {'algorithm': 'auto', 'n_neighbors': 20, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 2 with value: 0.709090909090909.
[32m[I 2023-04-26 00:21:11,205][39m Trial 37 finished with value: 0.709090909090909 and parameters: {'algorithm': 'auto', 'n_neighbors': 16, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 2 with value: 0.709090909090909.
[32m[I 2023-04-26 00:21:11,217][39m Trial 38 finished with value: 0.7017543859649122 and parameters: {'algorithm': 'auto', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 2 with value: 0.709090909090909.
[32m[I 2023-04-26 00:21:11,231][39m Trial 39 finished with value: 0.709090909090909 and parameters: {'algorithm': 'auto', 'n_neighbors': 16, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 2 with value: 0.709090909090909.
