
[32m[I 2023-04-26 11:19:08,950][39m Trial 19 finished with value: 0.8376068376068375 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.04820819403785603, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 17 with value: 0.8695652173913043.
[32m[I 2023-04-26 11:19:12,169][39m Trial 20 finished with value: 0.8376068376068375 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.027467690654475803, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.09560789070611175}. Best is trial 17 with value: 0.8695652173913043.
[32m[I 2023-04-26 11:19:20,095][39m Trial 21 finished with value: 0.8771929824561403 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08288577379263969, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.5570943744856045}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:19:27,103][39m Trial 22 finished with value: 0.8468468468468469 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0825523083892376, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.745542219649738}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:19:32,065][39m Trial 23 finished with value: 0.8596491228070176 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06600299457526669, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.6662216505774285}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:19:36,374][39m Trial 24 finished with value: 0.8771929824561403 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06579103992520784, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.173262515939605}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:19:41,262][39m Trial 25 finished with value: 0.8495575221238938 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06795243958183225, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.157302788997071}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:19:45,253][39m Trial 26 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.05635355000845625, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.635623131359801}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:19:50,899][39m Trial 27 finished with value: 0.8648648648648648 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08641435761860475, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.313075600249753}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:19:54,783][39m Trial 28 finished with value: 0.8421052631578947 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06739824132288293, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5980822779700375}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:19:56,518][39m Trial 29 finished with value: 0.831858407079646 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.04664714588141389, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:19:59,894][39m Trial 30 finished with value: 0.847457627118644 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.03428071806795881, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.492504805686494}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:20:05,718][39m Trial 31 finished with value: 0.8421052631578947 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08045786131894074, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.880321025073245}. Best is trial 21 with value: 0.8771929824561403.
