[32m[I 2023-04-26 15:43:47,962][39m Trial 25 finished with value: 0.6736842105263158 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:47,983][39m Trial 26 finished with value: 0.6 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 15, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:47,999][39m Trial 27 finished with value: 0.6464646464646465 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:48,018][39m Trial 28 finished with value: 0.5858585858585859 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 18, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:48,048][39m Trial 29 finished with value: 0.5636363636363636 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 20, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:48,130][39m Trial 30 finished with value: 0.6190476190476191 and parameters: {'algorithm': 'brute', 'n_neighbors': 1, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:48,162][39m Trial 31 finished with value: 0.6391752577319588 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:48,181][39m Trial 32 finished with value: 0.6736842105263158 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:48,197][39m Trial 33 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.6938775510204082.
[32m[I 2023-04-26 15:43:48,214][39m Trial 34 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.6938775510204082.
