[32m[I 2023-04-26 12:33:02,486][39m Trial 26 finished with value: 0.8214285714285715 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 2, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,498][39m Trial 27 finished with value: 0.8288288288288289 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,508][39m Trial 28 finished with value: 0.8468468468468469 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,521][39m Trial 29 finished with value: 0.8275862068965517 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,529][39m Trial 30 finished with value: 0.8545454545454546 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,537][39m Trial 31 finished with value: 0.8545454545454546 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,545][39m Trial 32 finished with value: 0.8495575221238938 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,551][39m Trial 33 finished with value: 0.8545454545454546 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,560][39m Trial 34 finished with value: 0.7321428571428572 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 24, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,570][39m Trial 35 finished with value: 0.8073394495412843 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,578][39m Trial 36 finished with value: 0.8275862068965517 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,597][39m Trial 37 finished with value: 0.7850467289719627 and parameters: {'algorithm': 'brute', 'n_neighbors': 16, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,606][39m Trial 38 finished with value: 0.8288288288288289 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,617][39m Trial 39 finished with value: 0.8113207547169813 and parameters: {'algorithm': 'auto', 'n_neighbors': 6, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,648][39m Trial 40 finished with value: 0.8214285714285715 and parameters: {'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,661][39m Trial 41 finished with value: 0.8545454545454546 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,672][39m Trial 42 finished with value: 0.8440366972477066 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,683][39m Trial 43 finished with value: 0.8148148148148148 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 12 with value: 0.8545454545454546.
[32m[I 2023-04-26 12:33:02,695][39m Trial 44 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,706][39m Trial 45 finished with value: 0.8173913043478261 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 1, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,718][39m Trial 46 finished with value: 0.831858407079646 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,729][39m Trial 47 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 20, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,744][39m Trial 48 finished with value: 0.8148148148148148 and parameters: {'algorithm': 'auto', 'n_neighbors': 7, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,751][39m Trial 49 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,758][39m Trial 50 finished with value: 0.8275862068965517 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,765][39m Trial 51 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,774][39m Trial 52 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,781][39m Trial 53 finished with value: 0.831858407079646 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,790][39m Trial 54 finished with value: 0.831858407079646 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,797][39m Trial 55 finished with value: 0.8173913043478261 and parameters: {'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,824][39m Trial 56 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'brute', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,836][39m Trial 57 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,849][39m Trial 58 finished with value: 0.831858407079646 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,862][39m Trial 59 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 18, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,874][39m Trial 60 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,885][39m Trial 61 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,897][39m Trial 62 finished with value: 0.8275862068965517 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,910][39m Trial 63 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,922][39m Trial 64 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,932][39m Trial 65 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,939][39m Trial 66 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 22, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,947][39m Trial 67 finished with value: 0.831858407079646 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,954][39m Trial 68 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,963][39m Trial 69 finished with value: 0.8148148148148148 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 7, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,970][39m Trial 70 finished with value: 0.8173913043478261 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 1, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,978][39m Trial 71 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,985][39m Trial 72 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:02,994][39m Trial 73 finished with value: 0.8173913043478261 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 2, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,002][39m Trial 74 finished with value: 0.8392857142857144 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,008][39m Trial 75 finished with value: 0.831858407079646 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,018][39m Trial 76 finished with value: 0.8545454545454546 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,025][39m Trial 77 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,034][39m Trial 78 finished with value: 0.831858407079646 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,041][39m Trial 79 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,051][39m Trial 80 finished with value: 0.8421052631578947 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 9, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,058][39m Trial 81 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,066][39m Trial 82 finished with value: 0.831858407079646 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,074][39m Trial 83 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,081][39m Trial 84 finished with value: 0.8275862068965517 and parameters: {'algorithm': 'auto', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,088][39m Trial 85 finished with value: 0.8545454545454546 and parameters: {'algorithm': 'auto', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,094][39m Trial 86 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
[32m[I 2023-04-26 12:33:03,102][39m Trial 87 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 44 with value: 0.8571428571428572.
