iter	Passed	Remaining
559	6838	5373
560	6848	5359
561	6854	5342
562	6866	5329
563	6878	5317
564	6890	5305
565	6901	5292
566	6933	5294
567	6946	5282
568	6958	5270
569	6969	5257
570	6981	5245
571	6993	5233
572	7005	5220
573	7017	5208
574	7025	5192
575	7036	5179
576	7049	5167
577	7061	5155
578	7073	5143
579	7084	5130
580	7096	5117
581	7108	5105
582	7120	5092
583	7132	5080
584	7144	5068
585	7156	5055
586	7167	5043
587	7180	5031
588	7192	5019
589	7204	5006
590	7216	4993
591	7229	4982
592	7237	4967
593	7249	4954
594	7261	4942
595	7275	4931
596	7287	4919
597	7299	4906
598	7311	4894
599	7324	4883
600	7336	4870
601	7341	4853
602	7352	4840
603	7359	4824
604	7371	4812
605	7383	4800
606	7395	4788
607	7407	4775
608	7417	4762
609	7429	4750
610	7450	4743
611	7462	4730
612	7487	4727
613	7504	4718
614	7518	4706
615	7530	4694
616	7546	4684
617	7549	4666
618	7561	4653
619	7573	4641
620	7585	4629
621	7597	4616
622	7609	4604
623	7621	4592
624	7633	4579
625	7646	4568
626	7659	4556
627	7671	4544
628	7683	4531
629	7694	4519
630	7706	4506
631	7718	4494
632	7730	4481
633	7742	4469
634	7756	4458
635	7769	4446
636	7780	4433
637	7793	4421
638	7805	4409
639	7817	4397
640	7828	4384
641	7840	4372
642	7854	4360
643	7867	4348
644	7878	4336
645	7891	4324
646	7903	4312
647	7915	4299
648	7927	4287
649	7934	4272
650	7945	4259
651	7959	4248
652	7971	4236
653	7983	4223
654	7995	4211
655	8007	4198
656	8019	4186
657	8026	4171
658	8038	4159
659	8050	4147
660	8064	4135
661	8076	4123
662	8088	4111
663	8100	4099
664	8112	4086
665	8124	4074
666	8136	4062
667	8160	4055
668	8173	4044
669	8185	4031
670	8197	4019
671	8209	4006
672	8221	3994
673	8234	3982
674	8246	3970
675	8259	3958
676	8275	3948
677	8288	3936
678	8300	3924
679	8312	3911
680	8324	3899
681	8336	3887
682	8348	3874
683	8356	3860
684	8370	3849
685	8383	3837
686	8394	3824
687	8407	3812
688	8419	3800
689	8431	3788
690	8443	3775
691	8455	3763
692	8469	3751
693	8481	3739
694	8494	3727
695	8506	3715
696	8518	3703
697	8531	3691
698	8543	3678
699	8555	3666
700	8567	3654
701	8580	3642
702	8590	3629
703	8602	3616
704	8615	3604
705	8627	3592
706	8639	3580
707	8652	3568
708	8665	3556
709	8677	3544
710	8689	3532
711	8701	3519
712	8713	3507
713	8724	3494
714	8730	3479
715	8741	3467
716	8753	3454
717	8767	3443
718	8780	3431
719	8793	3419
720	8804	3407
721	8816	3394
722	8823	3380
723	8835	3368
724	8847	3355
725	8859	3343
726	8870	3331
727	8883	3318
728	8896	3307
729	8907	3294
730	8919	3282
731	8931	3269
732	8937	3255
733	8949	3243
734	8961	3231
735	8973	3218
736	8985	3206
737	8990	3191
738	9003	3179
739	9015	3167
740	9027	3155
741	9039	3143
742	9052	3131
743	9064	3118
744	9076	3106
745	9089	3094
746	9101	3082
747	9113	3070
748	9126	3058
749	9153	3051
750	9166	3039
751	9174	3025
752	9186	3013
753	9198	3000
754	9211	2989
755	9224	2977
756	9235	2964
757	9247	2952
758	9258	2939
759	9270	2927
760	9289	2917
761	9307	2907
762	9325	2896
763	9343	2886
764	9357	2874
765	9368	2861
766	9380	2849
767	9391	2836
768	9403	2824
769	9415	2812
770	9427	2800
771	9432	2785
772	9443	2773
773	9450	2759
774	9459	2746
775	9467	2732
776	9479	2720
777	9491	2708
778	9504	2696
779	9517	2684
780	9531	2672
781	9545	2661
782	9558	2648
783	9570	2636
784	9582	2624
785	9596	2612
786	9608	2600
787	9621	2588
788	9630	2575
789	9645	2563
790	9657	2551
791	9669	2539
792	9683	2527
793	9695	2515
794	9709	2503
795	9722	2491
796	9735	2479
797	9753	2469
798	9771	2458
799	9784	2446
800	9796	2433
801	9809	2421
802	9824	2410
803	9836	2397
804	9848	2385
805	9860	2373
806	9868	2360
807	9880	2347
808	9892	2335
809	9904	2323
810	9917	2311
811	9931	2299
812	9949	2288
813	9967	2277
814	9986	2266
815	10005	2256
816	10018	2244
817	10035	2232
818	10048	2220
819	10061	2208
820	10076	2196
821	10087	2184
822	10099	2172
823	10111	2159
824	10121	2146
825	10135	2134
826	10147	2122
827	10160	2110
828	10172	2098
829	10184	2085
830	10195	2073
831	10207	2061
832	10219	2048
833	10231	2036
834	10244	2024
835	10258	2012
836	10271	2000
837	10284	1988
838	10296	1975
839	10307	1963
840	10320	1951
841	10331	1938
842	10343	1926
843	10356	1914
844	10368	1901
845	10379	1889
846	10391	1877
847	10404	1864
848	10415	1852
849	10427	1840
850	10439	1827
851	10451	1815
852	10464	1803
853	10476	1791
854	10487	1778
855	10499	1766
856	10511	1753
857	10524	1741
858	10537	1729
859	10549	1717
860	10561	1705
861	10576	1693
862	10590	1681
863	10608	1669
864	10626	1658
865	10642	1646
866	10657	1634
867	10667	1622
868	10679	1609
869	10691	1597
870	10705	1585
871	10717	1573
872	10729	1560
873	10741	1548
874	10754	1536
875	10766	1524
876	10779	1511
877	10792	1499
878	10805	1487
879	10818	1475
880	10830	1462
881	10841	1450
882	10856	1438
883	10868	1426
884	10882	1414
885	10894	1401
886	10906	1389
887	10919	1377
888	10930	1364
889	10942	1352
890	10954	1340
891	10966	1327
892	10978	1315
893	10989	1303
894	11002	1290
895	11015	1278
896	11027	1266
897	11038	1253
898	11052	1241
899	11066	1229
900	11078	1217
901	11090	1204
902	11103	1192
903	11117	1180
904	11129	1168
905	11141	1155
906	11153	1143
907	11165	1131
908	11179	1119
909	11191	1106
910	11203	1094
911	11216	1082
912	11226	1069
913	11238	1057
914	11250	1045
915	11262	1032
916	11273	1020
917	11285	1008
918	11298	995
919	11311	983
920	11323	971
921	11336	959
922	11347	946
923	11359	934
924	11370	921
925	11382	909
926	11394	897
927	11407	885
928	11419	872
929	11431	860
930	11443	848
931	11454	835
932	11466	823
933	11478	811
934	11490	798
935	11501	786
936	11515	774
937	11526	761
938	11539	749
939	11551	737
940	11563	725
941	11575	712
942	11587	700
943	11599	688
944	11613	675
945	11625	663
946	11637	651
947	11649	639
948	11662	626
949	11681	614
950	11694	602
951	11706	590
952	11718	577
953	11733	565
954	11746	553
955	11759	541
956	11771	528
957	11783	516
958	11796	504
959	11806	491
960	11818	479
961	11831	467
962	11844	455
963	11856	442
964	11868	430
965	11880	418
966	11893	405
967	11919	394
968	11932	381
969	11944	369
970	11956	357
971	11969	344
972	11981	332
973	11993	320
974	11998	307
975	12012	295
976	12025	283
977	12038	270
978	12049	258
979	12062	246
980	12074	233
981	12086	221
982	12098	209
983	12111	196
984	12123	184
985	12136	172
986	12148	160
987	12161	147
988	12174	135
989	12187	123
990	12198	110
991	12210	98
992	12222	86
993	12236	73
994	12248	61
995	12260	49
996	12267	36
997	12279	24
998	12291	12
999	12304	0
